Species,Linf
Arctic Char,61.6
Arctic Grayling,50.73333
Bonneville Whitefish,56
Cisco,39.56667
Common Whitefish,43.9
Coregonus wartmanni,55
Hovsgol Grayling,33.7
Lake Trout,90.6625
Lake Whitefish,63.28966
Round Whitefish,48.33
Vendace,30.775
